WCNPO#,WCNTRK
#LE101931,9405510200793789628683
#LE101938,61290983472420137665
#LE101887,61290983472420137672
#LE101950,61290983472420137689
#LE101850,61290983472420137696
#LE101915,61290983472420137702
#LE101928,61290983472420137719
#LE101912,61290983472420137726
#LE101918,61290983472420137733
#LE101723,9405510200828775386701
#LE101722,61290983472420137740
#LE101921,61290983472420137757
#LE101907,61290983472420137764
#LE101724,61290983472420137771
#LE101945,61290983472420137788
#LE101608,61290983472420137795
#LE101942,61290983472420137801
#LE101612,61290983472420137818
#LE101595,61290983472420137825
#LE101599,61290983472420137832
#LE101602,61290983472420137849
#LE101657,9405510200793789644485
#LE101658,61290983472420137856
#LE101624,61290983472420137863
#LE99502,61290983472420137870
#LE101627,61290983472420137887
#LE101630,9405510200881775207780
#LE99502,61290983472420137894
#LE101636,9405510200828775402210
#LE101745,9400110200830965924294
#LE101741,9400110200830965925161
#LE101613,9405510200829775130363
#LE101757,61290983472420137900
#LE101617,9400110200830965927141
#LE101767,61290983472420137917
#LE101100,61290983472420137924
#LE101771,61290983472420137931
#LE101778,61290983472420137948
#LE101780,61290983472420137955
#LE101721,9405510200830965935170
#LE101134,61290983472420137962
#LE101652,61290983472420137979
#LE101825,139332411294732
#LE101152,61290983472420137986
#LE101775,61290983472420137993
#LE101646,61290983472420138006
#LE101773,61290983472420138013
#LE101759,61290983472420138020
#LE101618,9405510200828775432583
#LE101616,9405510200830965956311
#LE101728,61290983472420138037
#LE101838,61290983472420138044
#LE101847,61290983472420138051
#LE101760,61290983472420138068
#LE101871,61290983472420138075
#LE101873,61290983472420138082
#LE101789,61290983472420138099
#LE101853,61290983472420138105
#LE101733,61290983472420138112
#LE101863,61290983472420138129
#LE101845,61290983472420138136
#LE101865,61290983472420138143
#LE101831,61290983472420138150
#LE101948,61290983472420138167
#LE101803,9405510200828775456114
#LE101926,61290983472420138174
#LE101614,9405510200830965983485
#LE101861,61290983472420138181
#LE99438,61290983472420138198
#LE101859,61290983472420138204
#LE101651,61290983472420138211
#LE101862,61290983472420138228
#LE101864,61290983472420138235
#LE101653,61290983472420138242
#LE101917,61290983472420138259
#LE101655,61290983472420138266
#LE101908,61290983472420138273
#LE101644,61290983472420138280
#LE101643,61290983472420138297
#LE101920,61290983472420138303
#LE101642,61290983472420138310
#LE101640,61290983472420138327
#LE101638,61290983472420138334
#LE101801,61290983472420138341
#LE101794,61290983472420138358
#LE101806,61290983472420138365
#LE101611,61290983472420138372
#LE101899,9405510200883832945680
#LE101906,61290983472420138389
#LE101909,61290983472420138396
#LE101914,61290983472420138402
#LE101923,61290983472420138419
#LE101933,61290983472420138426
#LE101932,61290983472420138433
#LE101947,61290983472420138440
#LE101857,61290983472420138457
#LE101854,61290983472420138464
#LE101886,9405510200881775351704
#LE101891,9405510200881775352053
#LE101882,61290983472420138471
#LE101869,9405510200829775271561
#LE101798,61290983472420138488
#LE101874,61290983472420138495
#LE101833,9405510200883832958048
#LE101807,61290983472420138501
#LE101764,61290983472420138518
#LE101849,9405510200793789805831
